	agitation rate	clockTime	CoSO4.7H2O	CuSO4.5H2O	DIP	EMS	FeSO4.7H2O	gamma	H2O2	illumination	KCl	MgSO4.7H2O	MnSO4.H2O	Na3C6H5O7	NaCl	NiSO4.H2O	Optical density (600nm)	Oxoid peptone	oxygen	pH	pump rate	sparge gas	sparge rate	temperature	time	Uracil	uv	vessel type	vessel volume	volume ratio	ZnSO4.7H2O
ZnSO4_ts_set-1_020min_vs_NRC-1h1.sig	300	10:39	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6233	0	33.5	7	6	air	4.5	37	20	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_ts_set-1_040min_vs_NRC-1h1.sig	300	10:59	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6419	0	31.5	7	7	air	4.5	37	40	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_ts_set-1_080min_vs_NRC-1h1.sig	300	11:39	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6785	0	31.3	7	7	air	4.5	37	80	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_ts_set-1_160min_vs_NRC-1h1.sig	300	12:59	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6622	0	28.9	7	7	air	4.5	37	160	0.000446	0	fermentor	2	0.75	1.5*10^-5
Zn_0.000_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0
Zn_0.005_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0.005*10^-3
Zn_0.010_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0.01*10^-3
Zn_0.015_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0.015*10^-3
cu__0700um_vs_NRC-1	0	0	0	0.7*10^-3	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0
cu__0850um_vs_NRC-1	0	0	0	0.85*10^-3	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0
cu__1000um_vs_NRC-1	0	0	0	1.0*10^-3	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0
zn__0005um_vs_NRC-1	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0.005*10^-3
zn__0010um_vs_NRC-1	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0.01*10^-3
zn__0020um_vs_NRC-1	0	0	0	0	0	0	0	0	0	Light	0.027	0.08	0	0.01	4.28	0	0.7	1	50	7	0	0	0	37	0	0.000446	0		0		0.02*10^-3
