	batch	clockTime	flow rate	gamma	H2O2	illumination	overexpression	knockout	media-to-flask-volume-ratio	mevinolin	NaCl	Optical density (600nm)	Optical density (600nm) for NRC1d	Optical density (600nm) for NRC1e	Optical density (600nm) for NRC1g	Optical density for NRC-1e	Optical density for NRC-1h1	overexpressed gene	Oxoid peptone	oxygen	shaking	paraquat	pH	tag	temperature	time
20060818_KO_hpyA_rep2_0.406_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0134G	0.5	0	0	0.406	0	0	0	0	0	0	1	0	220	0	0	0	37	750
20060818_KO_hpyA_rep2_0.827_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0134G	0.5	0	0	0.827	0	0	0	0	0	0	1	0	220	0	0	0	37	1260
20060818_KO_hpyA_rep1_0.161_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0134G	0.5	0	0	0.161	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_hpyA_rep1_0.421_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0134G	0.5	0	0	0.421	0	0	0	0	0	0	1	0	220	0	0	0	37	750
20060818_KO_hpyA_rep1_0.831_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0134G	0.5	0	0	0.831	0	0	0	0	0	0	1	0	220	0	0	0	37	1260
20060818_KO_bat_rep2_0.183_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1464G	0.5	0	0	0.183	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_bat_rep2_0.416_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1464G	0.5	0	0	0.416	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_bat_rep2_0.834_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1464G	0.5	0	0	0.834	0	0	0	0	0	0	1	0	220	0	0	0	37	1260
20060818_KO_bat_rep1_0.182_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1464G	0.5	0	0	0.182	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_bat_rep1_0.391_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1464G	0.5	0	0	0.391	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_bat_rep1_0.867_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1464G	0.5	0	0	0.867	0	0	0	0	0	0	1	0	220	0	0	0	37	1260
20060717_Cmyc_tbpF_rep2_0.219_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6438G	0.5	20	0	0.219	0	0	0	0	0	tbpF	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpF_rep2_0.393_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6438G	0.5	20	0	0.393	0	0	0	0	0	tbpF	1	0	220	0	0	cmyc	37	840
20060717_Cmyc_tbpF_rep2_0.801_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6438G	0.5	20	0	0.801	0	0	0	0	0	tbpF	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_tbpF_rep1_0.207_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6438G	0.5	20	0	0.207	0	0	0	0	0	tbpF	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpF_rep1_0.401_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6438G	0.5	20	0	0.401	0	0	0	0	0	tbpF	1	0	220	0	0	cmyc	37	840
20060717_Cmyc_tbpF_rep1_0.829_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6438G	0.5	20	0	0.829	0	0	0	0	0	tbpF	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_tbpE_rep2_0.192_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2243G	0.5	20	0	0.192	0	0	0	0	0	tbpE	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpE_rep2_0.453_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2243G	0.5	20	0	0.453	0	0	0	0	0	tbpE	1	0	220	0	0	0	37	960
20060717_Cmyc_tbpE_rep2_0.899_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2243G	0.5	20	0	0.899	0	0	0	0	0	tbpE	1	0	220	0	0	0	37	1500
20060717_Cmyc_tbpE_rep1_0.188_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2243G	0.5	20	0	0.188	0	0	0	0	0	tbpE	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpE_rep1_0.423_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2243G	0.5	20	0	0.423	0	0	0	0	0	tbpE	1	0	220	0	0	cmyc	37	960
20060717_Cmyc_tbpE_rep1_0.868_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2243G	0.5	20	0	0.868	0	0	0	0	0	tbpE	1	0	220	0	0	cmyc	37	1500
20060717_Cmyc_tbpD_rep2_0.185_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5163G	0.5	20	0	0.185	0	0	0	0	0	tbpD	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpD_rep2_0.413_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5163G	0.5	20	0	0.413	0	0	0	0	0	tbpD	1	0	220	0	0	0	37	1020
20060717_Cmyc_tbpD_rep2_0.837_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5163G	0.5	20	0	0.837	0	0	0	0	0	tbpD	1	0	220	0	0	0	37	1620
20060717_Cmyc_tbpD_rep1_0.179_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5163G	0.5	20	0	0.179	0	0	0	0	0	tbpD	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpD_rep1_0.416_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5163G	0.5	20	0	0.416	0	0	0	0	0	tbpD	1	0	220	0	0	cmyc	37	1020
20060717_Cmyc_tbpD_rep1_0.836_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5163G	0.5	20	0	0.836	0	0	0	0	0	tbpD	1	0	220	0	0	cmyc	37	1620
20060717_Cmyc_tbpC_rep2_0.21_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5142G	0.5	20	0	0.21	0	0	0	0	0	tbpC	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpC_rep2_0.428_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5142G	0.5	20	0	0.428	0	0	0	0	0	tbpC	1	0	220	0	0	cmyc	37	900
20060717_Cmyc_tbpC_rep2_0.868_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5142G	0.5	20	0	0.868	0	0	0	0	0	tbpC	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_tbpC_rep1_0.199_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5142G	0.5	20	0	0.199	0	0	0	0	0	tbpC	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpC_rep1_0.407_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5142G	0.5	20	0	0.407	0	0	0	0	0	tbpC	1	0	220	0	0	cmyc	37	900
20060717_Cmyc_tbpC_rep1_0.827_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG5142G	0.5	20	0	0.827	0	0	0	0	0	tbpC	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_tbpB_rep2_0.225_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.225	0	0	0	0	0	tbpB	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpB_rep2_0.446_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.446	0	0	0	0	0	tbpB	1	0	220	0	0	cmyc	37	900
20060717_Cmyc_tbpB_rep2_0.865_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.865	0	0	0	0	0	tbpB	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_tbpB_rep1_0.217_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.217	0	0	0	0	0	tbpB	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_tbpB_rep1_0.431_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.431	0	0	0	0	0	tbpB	1	0	220	0	0	cmyc	37	900
20060717_Cmyc_tbpB_rep1_0.812_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.812	0	0	0	0	0	tbpB	1	0	220	0	0	cmyc	37	1380
20060717_tbpA_Cmyc_rep2_0.211_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	20	0	0.211	0	0	0	0	0	tbpA	1	0	220	0	0	cmyc	37	540
20060717_tbpA_Cmyc_rep2_0.447_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	20	0	0.447	0	0	0	0	0	tbpA	1	0	220	0	0	cmyc	37	840
20060717_tbpA_Cmyc_rep2_0.922_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	20	0	0.922	0	0	0	0	0	tbpA	1	0	220	0	0	cmyc	37	1380
20060717_tbpA_Cmyc_rep1_0.199_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	20	0	0.199	0	0	0	0	0	tbpA	1	0	220	0	0	cmyc	37	540
20060717_tbpA_Cmyc_rep1_0.417_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	20	0	0.417	0	0	0	0	0	tbpA	1	0	220	0	0	cmyc	37	840
20060717_tbpA_Cmyc_rep1_0.854_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	20	0	0.854	0	0	0	0	0	tbpA	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_rep2_0.223_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.223	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_rep2_0.407_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.407	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	840
20060717_Cmyc_rep2_0.883_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.883	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1380
20060717_Cmyc_rep1_0.221_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.221	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	540
20060717_Cmyc_rep1_0.402_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.402	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	840
20060717_Cmyc_rep1_0.827_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.827	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1380
Overexpression_tfbD_Cmyc_0.821_vs_NRC-1e.sig	0	0	0	0	0	Light	VNG0869G	0	0	20	0	0.821	0	0	0	0	0	tfbD	1	0	220	0	0	0	37	0
NRC-1d_vs_NRC-1e.sig	NRC-1d_vs_NRC-1e	0	0	0	0	light	0	0	0	0	0	0	0.725	0.74	0	0	0	0	1	0	220	0	0	0	37	0
20060308_KO_ura3_0.189_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.189	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_ura3_0.448_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.448	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_ura3_0.853_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.853	0	0	0	0	0	0	1	0	220	0	0	0	37	1860
20060308_KO_tfbD_rep2_0.186_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	0	0	0.186	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tfbD_rep2_0.443_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	0	0	0.443	0	0	0	0	0	0	1	0	220	0	0	0	37	1440
20060308_KO_tfbD_rep2_0.871_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	0	0	0.871	0	0	0	0	0	0	1	0	220	0	0	0	37	1860
20060308_KO_tfbD_rep1_0.190_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	0	0	0.19	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tfbD_rep1_0.424_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	0	0	0.424	0	0	0	0	0	0	1	0	220	0	0	0	37	1440
20060308_KO_tfbD_rep1_0.876_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	0	0	0.876	0	0	0	0	0	0	1	0	220	0	0	0	37	1860
20060308_KO_tfbB_rep2_0.168_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0734G	0.5	0	0	0.168	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tfbB_rep2_0.441_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0734G	0.5	0	0	0.441	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_tfbB_rep2_0.934_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0734G	0.5	0	0	0.934	0	0	0	0	0	0	1	0	220	0	0	0	37	1860
20060308_KO_tfbB_rep1_0.165_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0734G	0.5	0	0	0.165	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tfbB_rep1_0.442_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0734G	0.5	0	0	0.442	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_tfbB_rep1_0.792_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0734G	0.5	0	0	0.792	0	0	0	0	0	0	1	0	220	0	0	0	37	1860
20060308_KO_tbpD_rep2_0.183_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5163G	0.5	0	0	0.183	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tbpD_rep2_0.434_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5163G	0.5	0	0	0.434	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_tbpD_rep2_0.841_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5163G	0.5	0	0	0.841	0	0	0	0	0	0	1	0	220	0	0	0	37	1920
20060308_KO_tbpD_rep1_0.160_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5163G	0.5	0	0	0.16	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tbpD_rep1_0.443_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5163G	0.5	0	0	0.443	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_tbpD_rep1_0.895_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5163G	0.5	0	0	0.895	0	0	0	0	0	0	1	0	220	0	0	0	37	1920
20060308_KO_tbpC_rep2_0.181_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5142G	0.5	0	0	0.181	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tbpC_rep2_0.419_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5142G	0.5	0	0	0.419	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_tbpC_rep2_0.783_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5142G	0.5	0	0	0.783	0	0	0	0	0	0	1	0	220	0	0	0	37	1980
20060308_KO_tbpC_rep1_0.162_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5142G	0.5	0	0	0.162	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tbpC_rep1_0.387_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5142G	0.5	0	0	0.387	0	0	0	0	0	0	1	0	220	0	0	0	37	1500
20060308_KO_tbpC_rep1_0.749_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5142G	0.5	0	0	0.749	0	0	0	0	0	0	1	0	220	0	0	0	37	1980
20060308_KO_tbpA_rep2_0.212_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	0	0	0.212	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tbpA_rep2_0.405_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	0	0	0.405	0	0	0	0	0	0	1	0	220	0	0	0	37	1380
20060308_KO_tbpA_rep2_0.785_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	0	0	0.785	0	0	0	0	0	0	1	0	220	0	0	0	37	1740
20060308_KO_tbpA_rep1_0.196_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	0	0	0.196	0	0	0	0	0	0	1	0	220	0	0	0	37	1080
20060308_KO_tbpA_rep1_0.398_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	0	0	0.398	0	0	0	0	0	0	1	0	220	0	0	0	37	1380
20060308_KO_tbpA_rep1_0.813_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG5039G	0.5	0	0	0.813	0	0	0	0	0	0	1	0	220	0	0	0	37	1740
Cmy_cspD2_1_hOD_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	20	0	High	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD2_1_mOD_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	20	0	Medium	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD2_2_hOD_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	20	0	High	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD2_2_mOD_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	20	0	Medium	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD1_1_hOD_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0	20	0	High	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD1_1_mOD_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0	20	0	Medium	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD1_2_hOD_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0	20	0	High	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Cmy_cspD1_2_mOD_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0	20	0	Medium	0	0	0	0	0	0	1	0	0	0	0	0	37	0
20050726_Cmyc_tfbF_rep2_0.180_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.18	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbF_rep2_0.470_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.47	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbF_rep2_0.821_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.821	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbF_rep2_0.918_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.918	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbF_rep1_0.198_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.198	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbF_rep1_0.490_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.49	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbF_rep1_0.820_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.82	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbF_rep1_0.946_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0315G	0.5	20	0	0.946	0	0	0	0	0	tfbF	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbC_rep2_0.148_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	0.148	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbC_rep2_0.430_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	0.43	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbC_rep2_0.880_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	0.88	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbC_rep2_1.114_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	1.114	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbC_rep1_0.132_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	0.122	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbC_rep1_0.394_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	0.394	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbC_rep1_0.857_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	0.857	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbC_rep1_1.080_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6351G	0.5	20	0	1.08	0	0	0	0	0	tfbC	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbB_rep2_0.152_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.152	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbB_rep2_0.496_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.496	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbB_rep2_0.840_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.84	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbB_rep2_1.041_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	1.041	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbB_rep1_0.157_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.157	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbB_rep1_0.448_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.448	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbB_rep1_0.814_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.814	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbB_rep1_0.872_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0734G	0.5	20	0	0.872	0	0	0	0	0	tfbB	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbA_rep2_0.144_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.144	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbA_rep2_0.399_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.399	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbA_rep2_0.888_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.888	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbA_rep2_0.976_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.976	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	3000
20050726_Cmyc_tfbA_rep1_0.141_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.141	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	1200
20050726_Cmyc_tfbA_rep1_0.412_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.412	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	1725
20050726_Cmyc_tfbA_rep1_0.908_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.908	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	2580
20050726_Cmyc_tfbA_rep1_0.983_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG2184G	0.5	20	0	0.983	0	0	0	0	0	tfbA	1	0	220	0	0	cmyc	37	3000
20050620_NRC1_rep2_0.183_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	0	0	0.183	0	0	0	0	0	none	1	0	220	0	0	0	37	1260
20050620_NRC1_rep2_0.505_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	0	0	0.505	0	0	0	0	0	none	1	0	220	0	0	0	37	1800
20050620_NRC1_rep2_1.030_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	0	0	1.03	0	0	0	0	0	none	1	0	220	0	0	0	37	2520
20050620_NRC1_rep1_0.173_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	0	0	0.173	0	0	0	0	0	none	1	0	220	0	0	0	37	1260
20050620_NRC1_rep1_0.484_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	0	0	0.484	0	0	0	0	0	none	1	0	220	0	0	0	37	1800
20050620_NRC1_rep1_1.276_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	0	0	1.276	0	0	0	0	0	none	1	0	220	0	0	0	37	2520
20050620_Cmyc_tfbG_rep2_0.170_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0254G	0.5	20	0	0.17	0	0	0	0	0	tfbG	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_tfbG_rep2_0.433_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0254G	0.5	20	0	0.433	0	0	0	0	0	tfbG	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_tfbG_rep2_1.000_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0254G	0.5	20	0	1	0	0	0	0	0	tfbG	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_tfbG_rep1_0.180_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0254G	0.5	20	0	0.18	0	0	0	0	0	tfbG	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_tfbG_rep1_0.408_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0254G	0.5	20	0	0.408	0	0	0	0	0	tfbG	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_tfbG_rep1_1.080_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0254G	0.5	20	0	1.08	0	0	0	0	0	tfbG	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_tfbE_rep2_0.118_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.118	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	1260
